report_date;mealtime_id;user_id;food_id;food_category_ncode
2023-12-15;1;83401281427856600;4527;32
2024-01-19;1;70653311618124700;439;48
2023-12-16;5;71344527382311300;3771;3
2023-12-17;2;12405324457848600;7488;52
2023-12-15;4;43682256504154500;978;45
2023-12-20;1;73036211594151400;12368;45
2024-01-01;2;63526786624395500;5177;16
2023-12-27;2;30336843580277200;7472;9
2024-01-09;5;65875204593294900;7537;23
2023-12-24;1;76531077780013300;7597;3
2023-12-29;1;60713769396009200;6979;27
2023-12-18;6;22619518630871400;5135;23
2024-01-07;3;31187615492933900;5361;45
2024-01-27;6;64321233302106400;155;22
2023-12-20;3;53254526107602700;12472;11
2024-01-23;3;35917541858851000;6801;52
2024-01-17;2;83717034693787000;11693;36
2024-01-26;6;79191152065918900;9700;10
2024-01-23;6;33158575486985300;376;40
2023-12-31;1;97527904615244800;4475;45
2024-01-08;1;9389184540147470;1093;20
2023-12-31;5;85091158067067000;9192;11
2023-12-29;4;69835753004608800;3491;45
2024-01-11;2;90534233820451100;6850;16
2024-01-07;4;70978907399187600;7834;23
2024-01-31;5;58922677601391700;11789;11
2023-12-17;1;93215183718848800;7975;21
2024-01-18;4;30336843580277200;4460;12
2024-01-15;3;22184004594936800;9844;27
2024-01-07;6;71279316539065900;8675;51
2023-12-23;2;38950501203831000;5000;14
2024-01-17;6;41265387853971500;10536;16
2024-01-21;1;56312631938259500;9596;27
2024-01-15;2;30178741125282700;4423;48
2024-01-19;4;59726836335374000;9346;40
2024-01-21;2;35454688512835100;4390;27
2024-01-21;3;39177836392356900;5325;46
2024-01-28;6;46931149194647300;1911;49
2024-01-31;5;93418668515945100;9037;11
2023-12-17;1;45322454507339000;1666;36
2023-12-23;1;58666991772087000;1628;17
2023-12-18;5;9280978144296370;814;45
2024-01-27;2;38872388176056100;6694;16
2023-12-21;1;79341762931021000;12566;51
2024-01-02;6;54124041140226200;5498;49
2024-01-09;5;5395320640738610;10061;45
2023-12-17;3;5395320640738610;9887;1
2024-01-27;6;75597753701102900;8684;20
2023-12-16;3;72490975372161300;4733;9
2024-01-17;5;20900633881102000;12087;14
2024-01-20;4;22817386690187900;2981;45
2024-01-29;5;93122062904678600;6149;12
2024-01-14;1;88254628638146300;12143;8
2024-01-01;4;14537439462600100;5782;45
2023-12-30;6;85091158067067000;6887;27
2024-01-11;6;55285765983568900;12055;22
2024-01-15;2;58922677601391700;11334;4
2023-12-26;5;71296670774182600;4802;22
2024-01-14;3;58117137634727000;4941;30
2024-01-05;6;69382069189911100;5948;11
2024-01-29;6;13510497745100400;12099;1
2023-12-28;4;34245167848602000;12180;51
2024-01-25;5;46036297552817100;3819;7
2023-12-23;3;86021856060242300;8696;6
2024-01-02;1;85091158067067000;12400;45
2024-01-28;4;43016337534180600;8867;17
2024-01-14;1;13510497745100400;12200;48
2024-01-02;4;21199108737308600;8490;45
2023-12-29;6;56989256787314700;4738;5
2024-01-13;3;4552453957427540;8380;52
2023-12-30;5;16259254883597900;10484;45
2023-12-30;1;76859957187923800;756;11
2024-01-14;2;15952707749553400;9978;49
2023-12-22;2;71103488354225000;6881;45
2024-01-28;4;34462940441796100;9454;48
2023-12-27;6;70346314066285000;6793;45
2024-01-27;3;78000387065780800;2007;20
2023-12-22;1;58080530293140700;9237;45
2024-01-10;4;38537826178782100;11827;28
2023-12-20;4;47380109940144900;11070;52
2024-01-25;5;47527484879691400;5062;9
2023-12-21;5;90534233820451100;8621;21
2024-01-06;4;51178519587254000;6556;23
2024-01-30;3;17629731378015000;3061;16
2023-12-18;6;90798708648087400;11568;11
2023-12-30;6;6476895893418710;11164;5
2024-01-28;6;87548642215746100;3355;3
2023-12-30;3;42660757284536700;11176;48
2024-01-17;2;43755875145182200;12724;45
2024-01-05;5;48211504313786900;11285;27
2023-12-31;5;96924618095657700;3431;44
2024-01-11;2;3417582320219700;2746;32
2024-01-11;2;59574078610271200;4895;17
2024-01-18;5;33158575486985300;10273;14
2023-12-19;4;53117583611115700;11041;45
2023-12-30;1;39352680690027700;8146;11
2023-12-25;4;58450851405511400;12967;48
2024-01-16;4;39177836392356900;6426;32
2024-01-12;4;21883524421966800;8856;45
2024-01-08;3;68900803453407900;11589;9
2024-01-31;6;97624349585273400;9584;1
2024-01-01;5;37099191495875300;9952;16
2024-01-06;1;58595568568149700;4766;52
2024-01-11;4;95772127649245300;5304;45
2024-01-25;6;94794429834448500;12086;3
2023-12-18;6;8104037064291050;1009;17
2024-01-11;5;72035257746642500;11595;35
2024-01-30;3;85163213333585500;7036;8
2024-01-13;6;22232214506247100;2465;27
2024-01-26;3;41951596482271000;8164;8
2023-12-19;2;17629731378015000;6618;49
2023-12-19;2;68550048247814600;1465;35
2024-01-15;5;19071157792492800;5563;16
2024-01-15;5;20878626943729300;9033;14
2023-12-25;3;43682256504154500;12124;40
2024-01-12;4;59797672991104500;589;45
2024-01-05;2;90445834789833500;5173;14
2024-01-28;4;3858251647217940;8316;45
2023-12-19;5;55215357659661400;3729;22
2024-01-23;6;34393505708291800;1494;45
2024-01-02;3;91186540680246800;668;39
2023-12-23;3;88833305403545800;5262;16
2024-01-03;1;5378436629381980;4464;3
2023-12-27;1;7881191091328780;9010;45
2023-12-23;3;93927087821729300;10672;16
2024-01-19;6;51645494157854600;10056;9
2024-01-16;3;48663705596884100;3148;1
2023-12-29;6;28164255444276000;6786;8
2024-01-11;4;52473823164089700;2564;51
2024-01-31;5;81587414983592900;3944;14
2024-01-14;6;49459656347378800;9679;0
2023-12-21;1;93135896101126400;5194;17
2024-01-28;2;16414665243990200;1197;9
2024-01-03;6;1149721623329090;11044;45
2023-12-15;3;32872143299252800;11928;2
2023-12-26;3;54124041140226200;8103;51
2024-01-31;6;43755875145182200;3859;21
2024-01-03;1;20642165963662300;7959;11
2024-01-22;6;11745141813159500;10933;17
2024-01-07;1;2447951313092940;5854;16
2023-12-29;6;12120483091182600;8082;45
2024-01-02;4;21199108737308600;11208;1
2024-01-27;1;49147562892617600;12929;18
2023-12-22;1;55215357659661400;2410;1
2024-01-08;2;17435702920785400;12193;11
2024-01-12;5;20900633881102000;1843;9
2023-12-27;1;17827306908871900;11081;8
2024-01-14;2;91439667736951300;10545;7
2023-12-20;1;9470789941739930;9011;45
2023-12-15;1;27899246322120500;750;23
2024-01-20;3;63184696324510600;5560;52
2024-01-04;2;23814746008501400;11978;4
2024-01-25;1;553195254579784;1766;52
2024-01-13;5;63526786624395500;5415;45
2024-01-24;6;14497278128192000;3681;49
2024-01-31;5;53254526107602700;9209;2
2024-01-17;3;18488430118691400;2171;11
2023-12-26;4;57345964890472800;6310;8
2024-01-20;1;73036211594151400;7691;52
2024-01-05;4;27027354807126300;11715;45
2024-01-04;3;73036211594151400;1498;23
2024-01-26;4;75135440211681000;868;49
2024-01-29;2;76531077780013300;8237;8
2024-01-30;5;9077979713210880;9848;50
2023-12-30;2;64914223346052300;4262;29
2023-12-21;1;7249381231402000;3599;11
2023-12-18;5;17966554323466800;8331;51
2024-01-04;3;95480983730323000;650;45
2024-01-06;6;85164427326690000;3951;12
2024-01-30;3;8856758099375160;12776;45
2023-12-27;2;19826261588074700;10814;48
2023-12-16;5;68550048247814600;6093;3
2024-01-10;1;26327509305113900;8920;0
2024-01-25;1;31187615492933900;5849;36
2023-12-30;1;76080090682118000;1312;20
2024-01-26;6;20117618910790100;9592;49
2023-12-25;1;84430422205323300;6882;2
2023-12-19;5;97833541199112600;8445;51
2023-12-15;5;95498145964828200;4419;10
2024-01-06;6;38537826178782100;11613;45
2023-12-15;4;19994821154636300;2826;27
2024-01-14;2;43266060011895500;1352;16
2024-01-09;2;39159335928748700;7450;3
2023-12-21;2;63164085093322900;4328;27
2024-01-23;2;72957068535097100;7359;4
2023-12-17;1;76531077780013300;4751;49
2023-12-21;5;54200323252345500;4402;11
2024-01-07;6;53462848730604500;6654;22
2024-01-22;1;33158575486985300;9700;46
2024-01-26;2;3866066369281850;6560;14
2024-01-02;6;86829369081265900;765;41
2024-01-24;2;80239567879709700;520;45
2023-12-24;3;17419609422723300;1212;51
2024-01-17;3;41214277520330800;10211;40
2023-12-29;2;14676415327745900;9239;45
2024-01-14;2;88934948448377800;4705;3
2023-12-24;5;85151744858571500;7509;27
2023-12-31;2;80912392091612000;10268;45
2024-01-28;3;23644318749544400;365;45
2023-12-17;1;56912385443247100;2003;2
2024-01-02;2;62125155263711500;2646;49
2023-12-20;1;1423502656957990;4186;52
2023-12-16;5;18087784698742700;10836;45
2024-01-07;1;22817386690187900;5784;14
2024-01-09;3;21883524421966800;6828;23
2024-01-28;3;8944699021154080;1408;48
2023-12-18;4;90999509303124400;8777;45
2023-12-20;1;7459898820148680;11562;17
2024-01-08;4;36108777124617000;9321;7
2024-01-13;6;16729755806855400;5241;1
2023-12-18;4;73298214162555100;6069;12
2023-12-26;6;74430969777125000;11470;36
2024-01-29;2;11065611116878500;10686;23
2024-01-15;2;82078597601653200;12221;21
2024-01-23;6;71279316539065900;12246;1
2023-12-23;3;58080530293140700;9386;36
2023-12-15;3;76207607660739400;11755;51
2023-12-18;5;79163516707813400;9619;17
2024-01-01;4;73036211594151400;5383;45
2024-01-19;2;55215357659661400;968;14
2023-12-15;2;47385700197051800;2650;23
2024-01-15;6;1912462881316600;8584;3
2024-01-09;4;34462940441796100;7914;8
2024-01-27;5;38537826178782100;5438;16
2024-01-26;5;20955326577524000;9216;50
2023-12-15;4;41747917688935700;6627;3
2024-01-25;2;1662086802466260;1212;7
2024-01-09;4;3244414558285890;3119;35
2023-12-25;6;20484873050985500;9850;18
2024-01-25;6;93122062904678600;7689;45
2023-12-28;3;24325747998892500;1180;41
2024-01-28;5;69846146556044200;1171;8
2024-01-18;6;78321645507986800;11091;3
2023-12-30;6;43701103233715300;4116;8
2023-12-15;6;66842843744038600;5906;14
2024-01-29;5;50409020370296000;12327;2
2024-01-27;5;21619625274465000;8159;27
2023-12-16;1;42149220564096100;3336;45
2024-01-22;4;29918012319904500;6932;7
2024-01-08;6;77832116177974900;10423;16
2024-01-23;1;54670632480001700;8990;45
2024-01-13;3;94383225038227600;2369;40
2023-12-31;1;39177836392356900;498;45
2024-01-19;3;90999509303124400;9090;50
2024-01-08;2;58830878969842600;576;14
2023-12-15;2;83401281427856600;10861;16
2023-12-27;1;41321039060342400;7639;46
2023-12-16;4;70305502080971500;7244;41
2024-01-15;4;2030556792288340;4492;45
2023-12-25;6;51124255394471700;6878;16
2023-12-28;1;79980128131568100;3103;49
2023-12-16;5;42400431901837000;10112;30
2023-12-16;1;83912667350216100;5579;1
2024-01-21;5;79980128131568100;7827;9
2023-12-31;2;2818230465916080;6983;11
2023-12-26;4;45341551774888400;1742;48
2023-12-15;4;67226892418684100;8026;40
2023-12-17;2;54670632480001700;5067;22
2023-12-24;6;15952707749553400;10688;51
2023-12-25;4;84430975719994000;12254;38
2024-01-25;1;63456329867697900;831;48
2023-12-20;1;80846005211952900;1620;17
2023-12-16;5;89701792300589600;9697;11
2024-01-10;4;79336607694039300;6948;20
2023-12-23;5;50616811673300700;10597;52
2024-01-04;4;27899246322120500;10538;52
2024-01-08;6;8243338910257770;4478;45
2024-01-25;3;21619625274465000;6284;8
2024-01-05;5;14676415327745900;2263;48
2024-01-10;4;12345645993390200;12033;51
2024-01-20;5;96920506223966300;4667;27
2024-01-08;1;15952707749553400;1992;49
2024-01-05;1;63489497315885400;9723;38
2023-12-17;6;45280664616841900;9195;8
2024-01-04;6;41861405824115600;7854;16
2024-01-22;3;79980128131568100;9273;52
2023-12-20;4;62991552740420900;7356;45
