user_id;meal_name;report_date
47148354618672200;Суп молочный с картофельными стружками;2023-12-15
47107055468005200;Каша гурьевская;2024-01-19
67494812736266300;Торт Прага»;2023-12-16
28847588333268200;Суп-лапша домашняя;2023-12-17
66096019871012100;Свекла тушеная с яблоками;2023-12-15
32795879092329900;Блины со сладким соусом по-староелецки;2023-12-20
13173613017738500;Соус из кильки;2024-01-01
9126243582169820;Картофель жареный (из вареного);2023-12-27
55663109005511700;Гарниры к сладким супам;2024-01-09
83599294027554100;Салат Молдова;2023-12-24
90999509303124400;Яичница глазунья с мясными продуктами;2023-12-29
78975996967844800;Ногайский чай (карачаево-черкесский национальный напиток);2023-12-18
4901810356524190;Тефтели (1-й вариант);2024-01-07
42273055242664400;Лососина, семга, кета малосоленые;2024-01-27
52461078506814300;Мусс лимонный;2023-12-20
58444977858686100;Сырный салат;2024-01-23
73036211594151400;Клецки;2024-01-17
59574078610271200;Жаркое из фаршированной свинины;2024-01-26
31527931609012000;Фаршированные яблоки;2024-01-23
36440479209942600;Суп молочный с тыквой;2023-12-31
86693666169855800;Бифштекс;2024-01-08
25410930967359500;Салат из помидоров, огурцов и сладкого перца;2023-12-31
36136014447617300;Сельдерей с картофелем;2023-12-29
56881660830404700;Салат из краснокачанной капусты;2024-01-11
58788009676065300;Салат Цезарь классический;2024-01-07
8651343518840750;Гарнир сложный 19;2024-01-31
49459656347378800;Поджарка из рыбы;2023-12-17
73239642268169500;Апельсиновый десерт;2024-01-18
17966554323466800;Фрикадельки мясные;2024-01-15
66405515335494000;Рыба (семейства осетровых) припущенная;2024-01-07
19360953299470600;Каша боярская (из пшена с изюмом);2023-12-23
13510497745100400;Тыква с орехами;2024-01-17
80912392091612000;Рыба заливная с гарниром;2024-01-21
72650567277141300;Гарнир сложный 7;2024-01-15
